GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banking-api,com.banking,BankingApiApplication,8,0,0,0,3,0,2,0,2,0
banking-api,com.banking.controller,UserController,153,0,10,0,40,0,11,0,6,0
banking-api,com.banking.controller,BankController,118,0,0,0,31,0,7,0,7,0
banking-api,com.banking.controller,TransactionController,60,0,0,0,16,0,6,0,6,0
banking-api,com.banking.controller,AccountController,155,0,8,0,38,0,11,0,7,0
banking-api,com.banking.service,TransactionService,131,159,6,8,29,37,10,9,7,5
banking-api,com.banking.service,AccountService,133,67,4,6,27,17,12,7,10,4
banking-api,com.banking.service,BankService,53,85,6,6,9,17,9,6,4,5
banking-api,com.banking.service,UserService,9,100,2,4,2,19,3,8,1,7
banking-api,com.banking.config,OpenApiConfig,58,0,0,0,20,0,2,0,2,0
banking-api,com.banking.config,CorsConfig,47,0,0,0,7,0,2,0,2,0
banking-api,com.banking.model,User.Role,0,24,0,0,0,2,0,1,0,1
banking-api,com.banking.model,Transaction.StatutTransaction,0,34,0,0,0,2,0,1,0,1
banking-api,com.banking.model,Bank,35,38,0,0,11,11,6,10,6,10
banking-api,com.banking.model,Account,58,35,0,0,16,10,13,7,13,7
banking-api,com.banking.model,Account.TypeCompte,0,34,0,0,0,2,0,1,0,1
banking-api,com.banking.model,Transaction,53,40,0,0,16,11,11,9,11,9
banking-api,com.banking.model,User,38,55,0,0,11,16,6,14,6,14
banking-api,com.banking.model,Transaction.TypeTransaction,0,34,0,0,0,2,0,1,0,1
banking-api,com.banking.dto,TransactionDTO,56,0,0,0,18,0,12,0,12,0
banking-api,com.banking.dto,BankDTO,46,0,0,0,15,0,10,0,10,0
banking-api,com.banking.dto,UserDTO,53,0,0,0,17,0,12,0,12,0
banking-api,com.banking.dto,AccountDTO,68,0,0,0,20,0,12,0,12,0
